TransactionId,UserId,Date,Location,Amount,HaveReceipt
3199,3,10/24/2014,El Cuy,8672.57,false
9139,10,9/19/2019,Kameda-honchō,4626.09,true
80,7,1/29/2018,Darvi,287.79,false
4184,10,8/17/2010,Kuncen,6254.38,true
654,4,7/19/2014,Gikongoro,8074.83,true
5948,4,4/18/2013,Rancageneng Satu,9159.96,false
1109,4,1/23/2020,Sovetsk,264.56,false
9622,7,10/8/2018,Palhoça,7757.15,false
9649,10,5/2/2016,Göteborg,8943.35,true
3463,5,2/19/2019,Tena,3290.86,true
4666,8,12/18/2012,Hino,1339.43,true
739,2,9/19/2012,Daliang,2185.06,true
6324,5,11/10/2015,Chikushino-shi,3707.22,true
986,9,11/28/2017,Lộc Bình,4869.59,true
2896,2,12/17/2011,Besuki Dua,1574.68,true
5338,10,12/20/2010,Uwajima,5071.19,true
6710,5,8/28/2018,Songping,2480.04,true
1647,3,2/11/2017,Panggungwinong,4765.33,false
4769,6,6/12/2012,Na Yong,3074.18,false
9811,8,12/4/2015,San Juan Bautista,4261.21,false
4318,4,6/16/2010,Loureiro,8233.37,false
6206,2,10/13/2019,Huangdu,8706.85,true
4973,9,8/3/2019,Ailibugai,5886.24,false
9489,6,6/24/2011,Tsimlyansk,7749.7,true
4366,8,6/29/2010,Pilcuyo,7394.65,true
230,4,12/13/2019,Jilili,2731.99,true
4158,2,4/3/2014,Mets Parni,4404.62,true
3068,4,12/17/2018,Delong,9978.55,true
2407,3,5/22/2015,Ambon,172.52,true
8200,4,2/11/2013,Ljukovo,6755.15,true
1096,9,8/22/2019,Dongxi,2852.48,true
2628,9,9/26/2018,Dama,8944.73,false
5197,2,2/16/2013,Amboise,1047.19,true
3153,2,9/18/2019,Quetigny,9155.43,false
4304,9,5/25/2018,Pudasjärvi,3903.76,false
9253,4,4/23/2017,Zaïo,8493.61,false
2275,9,5/10/2013,Koceljeva,7696.17,true
4509,1,7/10/2015,Shënmëri,7441.2,true
1999,5,6/9/2011,Pepe,7240.51,true
788,1,9/11/2016,Stubno,3310.32,true
9915,10,7/27/2018,Wuppertal,3057.25,true
3223,5,1/23/2017,Xianglan,8836.06,false
7898,8,1/4/2012,Brive-la-Gaillarde,5509.22,false
3797,6,11/3/2010,Propriá,3900.47,true
5100,1,2/3/2012,Al Ḩīlah,9765.53,true
5998,3,3/20/2013,Zürich,8661.68,false
3041,4,10/15/2012,Néa Smýrni,92.48,true
6219,5,5/20/2011,Leskovac,9405.61,false
789,9,8/17/2013,Manas,8415.04,false
1436,2,3/2/2012,Västra Frölunda,3958.99,false
5199,9,12/19/2016,Sangiang,4044.16,false
9386,9,12/24/2019,Akkol’,2692.83,false
1255,4,3/16/2015,Oumiao,4964.15,false
6406,4,4/26/2015,Stupino,8939.26,false
7410,5,8/19/2017,Dundrum,7544.59,true
9013,9,1/14/2017,Hedong,3740.52,false
9868,4,10/24/2016,Auxerre,1484.72,false
2039,2,3/25/2011,Chicoana,7391.33,false
2901,4,9/1/2011,Launceston,4717.58,true
7792,10,10/19/2014,Kardamás,2354.46,false
7152,5,1/19/2016,Alcaria,5572.85,true
9860,9,11/18/2017,Vallehermoso,4502.8,false
2700,1,9/10/2018,Baranowo,3132.63,true
1964,7,11/21/2016,Wichita,8850.0,true
6091,6,2/9/2015,Zhengyu,8617.89,true
7833,10,2/11/2011,Kalininaul,4282.32,false
7833,7,10/2/2012,Kano,252.98,false
6975,6,5/19/2017,Penteado,2985.64,true
667,6,12/10/2012,Houjiachuan,5512.21,true
3652,9,7/9/2014,Villa María,5943.23,false
9891,6,2/9/2018,Bayonne,6911.7,true
9521,5,2/19/2012,Homagama,9480.05,true
1651,3,4/25/2017,Tanlad,1885.01,true
7792,7,4/24/2010,Jelisavac,5278.98,true
86,8,6/6/2013,Pathum Rat,3689.43,true
3200,4,2/21/2015,Casais,6416.58,true
9993,8,3/18/2011,San Justo,3645.0,false
916,3,2/16/2018,Tadou,3416.76,false
2613,1,6/29/2013,Italó,3342.6,false
7551,3,7/21/2016,Xikou,1622.55,false
6175,8,4/1/2011,San Buenaventura,2802.65,false
5258,10,4/21/2013,Tilburg,2336.59,true
509,3,12/10/2018,Ohrid,4493.89,true
6468,8,11/27/2015,Beaung Tengah,2582.51,true
1097,2,5/1/2018,Aurillac,3975.39,false
968,4,1/9/2020,Phak Hai,2211.9,false
237,4,2/21/2013,Duszniki-Zdrój,5700.45,false
8369,4,12/1/2018,Weligama,1990.66,true
6007,1,3/25/2010,Ciro Redondo,4752.17,true
137,10,1/30/2011,Lukulu,4835.97,false
8646,2,5/3/2017,Wola Filipowska,2195.83,false
7064,2,12/1/2014,Al Hoceïma,5548.61,true
8673,6,7/1/2016,Bernardo de Irigoyen,9904.08,false
3912,3,1/13/2011,Chengjiao,4134.14,true
469,8,5/8/2017,Urrao,6518.44,false
4591,3,8/10/2017,Thị Trấn Mường Tè,665.51,true
635,4,4/22/2013,Nagpandayan,2266.05,false
7991,2,1/13/2012,Pulilan,6945.17,true
7951,7,1/24/2013,Tomilino,5674.82,true
2810,7,3/7/2016,Jiufang,7757.11,false
8619,8,12/2/2012,Pondohan,1610.63,true
8436,4,11/25/2019,Burlatskoye,2527.55,true
4251,8,5/22/2018,Yangshufang,3959.85,true
5164,7,6/3/2010,Kadumelati,2024.67,false
8760,8,9/4/2011,Austin,511.39,true
2539,3,1/15/2020,Sūrak,7029.75,true
8255,4,2/18/2019,Zhangjiaji,8040.79,false
2299,2,9/8/2015,Fermont,1622.2,true
7015,10,11/10/2018,Dayr Abū Ḑa‘īf,9112.21,true
5597,3,11/22/2011,Długosiodło,5701.33,true
3478,8,2/2/2016,Maguilling,379.27,false
6956,7,10/27/2013,Negara,5719.76,false
7956,9,6/19/2017,Simpangpasir,5388.09,false
2118,4,6/16/2017,San Francisco,7345.73,false
7110,4,8/8/2019,Puutuga,974.04,true
5596,4,5/18/2010,Sievi,8904.27,false
7666,6,7/9/2015,Faqqū‘ah,3289.99,true
3967,10,4/5/2013,Sukahening,3024.13,true
6675,1,8/27/2015,Dzorastan,7746.49,true
4781,8,12/16/2013,Mariara,4788.05,false
5403,4,10/20/2013,Sakaraha,4028.25,false
2926,3,2/6/2012,Fanyang,2581.46,false
2566,6,11/2/2013,Ciudad Arce,2833.58,true
3401,4,9/2/2012,San Felipe,4693.89,true
8551,2,2/20/2020,Shakhta,3800.22,true
4620,3,3/7/2017,Bunog,5199.88,true
1069,4,1/30/2014,Koíla,1008.37,false
4613,5,10/16/2019,Nangkaruka,8474.86,false
6241,7,1/11/2019,Xincun,7090.8,true
5860,7,2/5/2014,Pampierstad,154.81,false
4603,8,1/16/2012,Gapan,8390.58,true
2122,8,12/4/2011,Skidal’,7592.92,false
8010,6,6/15/2017,Kertamukti,3801.66,true
1373,5,4/11/2012,Alto do Estanqueiro,8542.3,false
6840,5,8/4/2013,Lixiqiao,1509.66,true
5536,6,10/7/2016,Ueda,3216.74,false
3548,6,9/24/2014,Bibis,5434.25,false
3139,4,8/22/2016,Paris 08,1712.1,false
1290,3,9/22/2015,Bonao,963.96,false
1581,3,12/27/2012,Zhuoshui,2678.57,true
8741,5,8/23/2015,Al Qadmūs,7710.99,true
7775,1,9/20/2012,Conchal,8.32,true
8999,6,4/3/2019,Ryazhsk,2790.44,true
4624,8,8/17/2013,Furukawa,1919.76,false
7745,4,6/10/2015,Villa Constitución,3273.55,false
3098,4,12/15/2014,Bolyarovo,3931.96,false
5962,9,4/20/2010,Logan Lake,5447.93,false
7783,5,4/11/2015,Agenebode,3027.97,false
661,3,11/27/2016,Itami,2784.66,true
1175,7,2/9/2011,Rukaj,5145.45,true
4655,1,11/2/2015,Maungatapere,3483.32,true
3481,5,11/1/2011,Taouloukoult,3698.46,false
260,6,2/4/2015,Yantian,8811.2,false
4776,9,7/20/2019,Makueni,8046.04,false
8574,1,6/21/2013,Sarpsborg,5233.72,true
7780,9,11/13/2015,Sidareja,7498.23,true
4411,6,11/5/2016,Makato,9302.51,false
305,4,9/6/2018,Cibangun Tengah,2140.13,true
6675,4,6/19/2019,Horad Rechytsa,3982.08,true
7151,3,12/16/2019,Zhoutian,5080.31,false
485,8,9/5/2018,Castanheiro do Sul,1469.06,false
1730,1,12/27/2012,Zaječí,1505.15,false
605,8,4/7/2011,Miaoshou,4878.29,true
2168,7,12/7/2013,El Fasher,8500.21,false
3664,6,10/11/2010,Zaïo,2298.49,true
7614,1,6/19/2015,Tân Kỳ,8258.47,false
697,6,3/3/2015,Jincheng,3161.72,true
2001,3,7/8/2019,Kagoro,5531.95,true
7651,8,9/21/2016,Dokri,2670.23,true
7848,4,12/22/2019,Nizhniy Ufaley,2059.72,false
7036,8,12/3/2011,Lambayong,5933.37,false
8402,9,8/10/2014,Luocun,6854.34,false
4527,3,6/4/2019,Angered,7120.24,false
5859,2,4/19/2011,Hayes,9418.44,true
8441,10,10/14/2016,Pincher Creek,2295.62,true
605,7,2/8/2013,Oakville,8157.79,false
4233,8,9/7/2010,Moshiyi,2625.66,true
2967,3,2/7/2012,Torez,3341.83,true
1617,4,7/14/2011,Leuwipicung,471.67,true
1899,3,10/24/2018,Yuhang,7800.66,true
2680,8,8/9/2016,Xiaocheng,5088.44,true
6804,2,11/30/2010,Luwan,8242.33,false
7682,7,10/18/2016,Ob’,9543.63,false
8052,3,10/9/2010,Qinglian,3855.9,true
4286,10,7/7/2018,Takeo,2741.21,false
2934,10,9/28/2012,Jagdaqi,1129.57,true
7085,10,5/19/2013,Daqin Tal,2116.09,true
8796,1,8/17/2013,Králův Dvůr,9522.5,true
5154,8,6/25/2014,Moorreesburg,7131.07,true
7409,3,1/16/2012,Cimaung Kidul,4409.41,true
5543,3,6/26/2011,Kimberley,9314.37,false
6025,4,3/30/2014,Lillooet,6139.07,false
7486,8,1/13/2018,Gandara,1026.08,false
1914,6,1/1/2012,El Mirador,5581.66,false
4427,10,2/6/2012,Longhua,3618.17,false
6932,7,3/30/2010,Tyrnyauz,5484.38,false
6512,9,7/4/2016,Jiangkou,3514.76,true
6814,10,2/26/2017,El Zulia,2963.87,false
1313,1,5/2/2015,Saryözek,4019.23,true
8558,3,12/30/2010,Vlissingen,9844.84,true
4564,10,1/8/2018,Thanatpin,7765.03,false
1357,10,11/1/2012,Amsterdam Binnenstad en Oostelijk Havengebied,5186.0,false
5590,1,6/4/2017,Wugong,4419.48,false
9407,10,8/2/2012,Faqīrwāli,3391.24,true
2249,7,10/18/2017,Karjalohja,8323.98,false
6845,4,11/22/2010,Karakol,1934.04,true
8161,4,3/2/2017,Wichit,9284.82,false
9434,2,2/15/2018,Inriville,3248.09,false
94,9,9/30/2013,Sukorambi,367.3,false
3136,1,4/11/2015,Lengji,4843.03,false
1370,6,10/13/2011,Matangshan,8201.35,true
6142,8,1/8/2020,Sơn Hà,8649.66,false
361,4,4/2/2014,Arcueil,4729.76,true
9210,8,5/21/2014,Vodyane,4989.18,false
4497,5,6/18/2011,Battle Creek,4250.25,true
6742,8,6/4/2010,Al Ghāriyah,779.29,true
4745,7,9/21/2010,Caculé,9540.1,false
3759,3,1/7/2014,Bulembu,2121.43,false
710,5,10/9/2012,Solnice,7186.91,true
1009,1,7/20/2019,Mintian,9466.44,true
8706,6,2/1/2018,Khōshī,9371.42,false
318,3,11/3/2019,Masaguisi,4433.56,false
9653,2,2/27/2019,Gansa,9143.26,false
6096,9,8/9/2013,Taiping,492.87,true
8070,6,3/4/2013,‘Izbat al Burj,7965.42,true
4075,1,3/6/2013,Casal do Relvas,8033.6,true
4475,5,4/2/2018,Tomilino,913.87,true
5384,9,12/7/2011,Vlachovo Březí,7925.59,true
3119,7,10/23/2013,Roboré,9590.7,false
3683,4,10/21/2010,Paucarbamba,9641.01,false
5041,10,2/19/2015,Kampala,4731.51,true
1960,8,8/17/2012,Haoyi,2670.65,false
2332,1,3/26/2017,Shilong,6343.23,true
7123,5,8/3/2017,Tsul-Ulaan,8744.49,true
230,9,4/13/2019,Guohua,3478.04,true
3239,3,1/17/2013,Urachiche,3422.05,true
943,2,4/4/2017,Vřesina,7269.22,false
9140,5,3/5/2017,Ndano,632.52,true
6071,8,7/7/2016,Butterworth,5695.31,false
5549,5,1/21/2019,Belyye Stolby,3963.15,true
4478,4,3/9/2012,Natakoli,9393.57,false
7358,6,5/4/2016,Shijiazhuang,1260.16,true
810,1,9/12/2018,El Limon,5476.45,true
9671,1,9/16/2013,Manzil Bū Zalafah,628.96,true
7475,4,12/29/2011,Banyue,8180.69,false
5348,2,10/11/2018,Teluksantong,1184.77,false
9001,2,8/21/2011,Jacaraú,581.18,true
617,2,8/22/2018,Qishui,4710.35,true
1589,8,1/1/2017,Radomin,7575.03,false
9289,10,3/1/2015,Hehe,6691.89,true
1086,4,9/5/2015,Tibati,9708.84,true
2925,6,3/15/2019,Bandar-e ‘Asalūyeh,2627.97,false
2702,7,7/9/2015,Villa Gesell,2507.93,true
768,3,8/2/2016,Kota Bharu,4655.08,true
7678,10,5/29/2019,General Lavalle,1214.69,true
7688,5,8/15/2015,Pozo Hondo,1779.43,false
3627,5,7/30/2010,Linhu,4713.19,true
2189,5,3/3/2011,Pouzauges,4928.38,true
3944,7,7/29/2016,Bokoro,5328.34,true
7030,10,11/9/2019,Santo Domingo Oeste,9851.19,true
9306,9,1/18/2015,Pa Kham,2809.26,false
9148,6,1/30/2020,Lauro de Freitas,9259.23,true
2950,7,2/2/2013,Spanish Town,1463.21,true
3594,9,7/9/2017,Norak,807.37,true
3172,3,11/20/2012,Mochishche,188.12,false
5481,9,12/30/2019,Gevgelija,4258.15,true
5895,8,8/19/2018,Krasnogvardeyets,4944.53,true
480,9,12/4/2017,Stockholm,6408.22,false
4262,5,4/25/2014,Agnibilékrou,7856.59,false
3909,9,10/23/2018,San Juan de los Morros,9723.26,false
9846,9,12/2/2016,Kobyzhcha,335.46,false
4112,6,4/10/2018,Vrsi,2863.3,true
5554,1,5/17/2012,Hewa,2818.42,true
1010,1,2/12/2016,Almeirim,1172.32,true
9971,8,8/7/2016,Candelaria,6229.47,false
7896,7,6/15/2019,Chrzanów,3622.3,true
979,8,7/31/2011,Maksatikha,2787.84,false
2813,10,11/1/2016,Levski,4000.81,false
2539,1,2/9/2018,Even Yehuda,1131.54,false
9521,10,6/27/2018,Cirangkong,1193.36,false
619,10,2/18/2018,Kutasari,6414.04,true
5561,9,12/24/2017,Bugcaon,2178.32,true
7213,10,9/23/2012,Vilhena,7206.77,true
9079,5,2/8/2016,Säffle,5895.81,false
3598,10,11/16/2010,Gewanē,6147.12,false
8769,6,2/2/2016,Vroutek,2632.27,false
383,9,8/1/2013,Bali,3399.18,false
2725,7,3/7/2019,Port Louis,8963.94,false
9404,4,6/11/2018,Wan’an,238.17,false
9522,3,7/28/2014,Tours,1284.92,false
4832,4,8/5/2017,Illkirch-Graffenstaden,4096.4,true
8390,4,7/17/2015,Tabor,1388.49,true
5382,1,9/5/2011,Pryazovs’ke,7578.2,true
2347,3,11/14/2014,Chamni,8898.33,false
4466,10,6/11/2017,Vaiusu,1519.17,true
9551,2,10/19/2012,Catolé do Rocha,8896.87,false
4270,8,10/24/2013,Ban Phue,6393.38,false
8490,4,5/23/2014,Wonoharjo,3800.08,false
7814,3,11/3/2015,Staraya Stanitsa,7060.45,false
8288,1,11/6/2014,Pattani,6603.22,false
8718,7,6/13/2011,Shahrisabz Shahri,5330.86,true
5276,9,1/3/2019,Benito Juarez,2173.73,false
2447,7,8/24/2010,Begejci,4089.73,true
1059,8,4/26/2010,Baru,9570.66,false
8451,8,1/14/2013,Guangfu,6655.21,false
2056,1,9/26/2018,Cikiruh Wetan,980.1,false
9783,2,10/5/2016,Hamilton,828.04,true
9676,8,4/12/2019,Sibayo,2612.16,true
9997,3,4/12/2017,Liuhe,7133.9,false
2670,2,8/4/2012,Małkinia Górna,1816.65,true
5142,6,2/2/2018,Grevená,5164.35,false
8147,3,2/1/2015,Gävle,7103.28,true
8001,4,7/10/2017,Manassas,1101.85,true
8087,3,3/23/2010,Itápolis,4805.89,false
2714,8,11/4/2016,São Sebastião do Caí,2383.52,true
7801,8,11/4/2017,Cabalawan,2084.84,false
1004,4,2/12/2013,Zebrzydowice,1211.37,true
9130,6,1/2/2013,Si’erbao,9103.16,false
3596,8,3/26/2017,Kampong Thom,4933.3,true
444,1,6/17/2012,Kochenëvo,2459.59,true
2770,6,8/25/2012,Villa de Soto,8845.82,false
1274,8,5/31/2018,Gesing,8411.99,false
6439,8,2/27/2013,Slobodka,1452.23,false
7517,1,5/26/2017,Maasin,2723.89,true
3708,1,9/3/2015,Heshang,5139.67,false
4467,5,8/15/2014,Oneop,6583.93,false
8582,1,8/3/2017,Hondo Valle,1038.22,false
7819,10,2/18/2014,Kalianyar Selatan,5337.08,false
6875,7,4/22/2019,Datan,8714.09,false
8059,2,3/30/2015,Kiambu,966.18,false
9240,10,4/8/2016,Priozërsk,5580.8,true
9514,7,6/13/2011,Ārt Khwājah,2373.93,false
5369,6,9/6/2011,Passos,3000.68,false
5883,9,2/7/2017,Okpoma,3734.17,true
98,2,4/4/2012,Cabaritan East,186.09,false
7262,9,6/20/2018,Várzea,2949.21,false
1589,3,7/4/2014,Saint-Denis,8687.52,false
