ItemId,ReceiptId,ProductCategory,C02Impact,Price,QrCode
1,78,McCawley,48.26,79.21,75
2,39,Bortoli,54.71,56.01,47
3,76,Iwanowicz,77.45,52.93,78
4,9,Wastling,90.69,86.71,54
5,100,Crauford,95.39,73.84,89
6,20,Garie,73.39,71.16,46
7,54,McCoy,63.79,55.4,25
8,47,Asty,78.18,62.33,61
9,49,Koopman,9.6,48.92,39
10,51,Di Matteo,41.59,5.14,84
11,57,Puddin,30.75,89.43,23
12,52,Tinniswood,56.48,91.45,26
13,63,Ainsley,63.38,71.46,81
14,70,Bahls,40.18,22.13,58
15,7,Juanico,85.03,6.96,44
16,62,De Pero,11.49,57.16,76
17,16,Levensky,66.6,6.43,13
18,4,McGeraghty,18.63,47.77,25
19,23,Carryer,17.96,64.79,84
20,95,Comini,92.53,67.08,79
21,56,McOrkill,17.45,39.93,87
22,6,Demare,15.54,94.68,96
23,55,Gisbourn,37.57,9.94,32
24,50,McGivena,2.4,28.77,42
25,11,Pavey,3.22,61.86,98
26,35,Mollon,70.54,1.1,5
27,39,Passmore,7.37,59.98,20
28,75,Sandercock,4.01,25.5,28
29,26,Stallwood,33.95,71.98,99
30,75,Enriques,60.81,58.35,45
31,67,Cobon,55.33,43.85,5
32,7,Alasdair,55.43,54.95,64
33,6,Snooks,24.01,44.33,8
34,53,Linstead,75.84,25.79,38
35,15,Mateescu,25.24,39.77,88
36,54,Stonard,73.64,49.53,19
37,18,Cherm,62.74,65.68,8
38,10,Schimonek,34.81,36.23,76
39,65,Huccaby,30.82,81.79,32
40,9,Augie,65.26,23.6,11
41,48,Crookall,3.41,48.07,6
42,29,Jennison,21.53,9.6,92
43,63,Dykes,45.83,16.75,70
44,85,Snellman,94.46,49.43,73
45,1,Asplin,40.39,92.83,39
46,2,Leyton,84.44,25.58,45
47,53,Tollit,40.75,50.23,10
48,34,Cuttle,41.33,95.19,98
49,76,Tomasicchio,27.89,70.02,46
50,49,Gason,37.93,93.19,89
51,52,Revens,32.81,53.25,76
52,29,Drewery,85.17,55.01,10
53,44,Parkinson,24.13,52.52,70
54,13,Keech,68.63,50.45,52
55,91,MacPhail,64.79,28.69,90
56,23,Spleving,57.21,53.88,61
57,5,Valerius,16.96,90.17,4
58,68,Gerkens,16.46,30.68,67
59,57,Loble,88.78,72.0,88
60,68,Probin,7.34,80.7,47
61,34,Handford,42.13,67.76,37
62,47,Langton,46.32,97.19,3
63,22,Canniffe,72.14,46.8,52
64,14,Ewbanche,94.78,46.88,25
65,94,Torrent,84.56,93.78,29
66,6,Dudin,91.56,88.07,89
67,64,Alliston,48.05,7.53,71
68,44,Dressel,17.73,27.48,26
69,18,Rachuig,54.02,59.87,28
70,10,Tricker,30.5,41.34,43
71,84,Ferrieri,20.49,98.63,7
72,91,Jaggli,17.5,12.22,9
73,43,Cottrill,52.87,33.57,39
74,94,Peniello,59.82,7.89,9
75,17,Brainsby,18.45,27.74,54
76,48,Halden,92.86,28.21,26
77,19,Bewsy,79.28,88.87,77
78,13,Rosengren,53.08,64.16,63
79,22,Pamphilon,20.84,92.73,88
80,23,Pawlicki,39.92,53.41,97
81,51,Gosz,35.08,33.87,85
82,24,Willis,10.36,24.17,52
83,16,Strippling,41.71,5.32,11
84,80,Thorsen,89.59,48.49,72
85,52,Cathcart,84.03,8.53,10
86,94,Wailes,68.27,58.5,41
87,93,Margerrison,62.37,23.08,39
88,28,Milberry,34.67,33.47,77
89,44,Dongate,92.64,26.66,86
90,68,McKibbin,31.47,13.53,51
91,89,Fyfield,91.92,76.48,22
92,3,Stronge,62.94,45.59,63
93,14,Rump,5.67,14.35,12
94,54,Braffington,90.75,70.75,11
95,38,Netting,14.13,30.31,16
96,32,Graundisson,10.3,97.16,14
97,29,Andriuzzi,71.87,57.9,81
98,51,Dmitriev,70.85,80.89,45
99,19,Simonsson,66.5,4.08,80
100,10,Smidmor,58.72,88.04,81
101,4,Wanek,15.74,68.27,15
102,49,Gutman,44.76,92.2,63
103,5,MacCaig,75.65,29.9,21
104,94,Littledyke,60.29,38.86,42
105,48,Londors,26.85,42.77,52
106,87,Bourrel,71.38,62.32,57
107,46,Lambrook,45.27,35.17,29
108,54,Axon,11.58,42.2,41
109,12,McCreadie,37.85,58.9,32
110,10,Maddick,36.51,75.14,74
111,90,Kruse,50.38,2.59,41
112,19,Allnatt,61.28,9.65,1
113,6,Stickney,31.35,32.1,18
114,57,Kellard,24.68,98.68,15
115,74,Dorcey,17.0,22.38,30
116,8,Venneur,2.04,93.18,59
117,16,Carncross,65.99,86.39,16
118,3,Gaishson,31.02,82.92,35
119,86,Blenkensop,22.34,26.18,92
120,4,Garfitt,92.37,71.71,1
121,48,Creber,54.82,16.58,18
122,52,Matthaus,26.05,29.88,5
123,1,Dewick,40.97,37.69,30
124,48,Thacker,25.31,23.11,68
125,23,Faudrie,50.8,32.58,34
126,58,Moodie,87.42,28.61,28
127,34,Runnett,36.61,4.93,86
128,33,Yatman,94.72,73.33,91
129,52,Gethen,95.48,19.1,40
130,90,Noblett,17.36,51.0,93
131,33,Hulbert,25.22,16.08,57
132,78,Wardlow,63.86,99.88,40
133,41,Holhouse,80.31,83.54,84
134,70,Coldrick,61.16,61.31,11
135,12,Piscopello,24.4,73.27,59
136,98,Harral,46.85,6.35,96
137,37,Rieflin,49.69,10.48,77
138,49,Aleixo,14.27,24.84,80
139,46,Hindsberg,79.59,11.11,24
140,53,Lessmare,61.71,7.15,84
141,75,Garrique,7.04,52.64,16
142,79,Havesides,24.17,20.02,7
143,37,Blamire,55.41,77.28,6
144,88,Bagger,4.75,36.39,83
145,93,Poure,70.22,64.4,15
146,72,Culy,67.98,23.28,12
147,100,Jarville,97.57,19.18,77
148,94,Pantin,48.83,92.88,55
149,9,Amber,18.97,55.71,75
150,92,Ewenson,24.31,32.36,51
151,62,Lidbetter,82.81,40.72,18
152,27,Higounet,46.18,19.09,6
153,34,Biffen,19.77,55.47,75
154,44,Cohani,34.51,65.97,57
155,55,Galtone,86.25,40.03,84
156,58,Conn,78.48,24.24,100
157,66,Reese,37.09,55.36,54
158,31,Faires,16.45,47.19,51
159,41,Henbury,27.2,41.53,25
160,39,Windrum,35.33,60.38,54
161,51,Showalter,51.26,71.53,43
162,75,Sellwood,36.41,85.43,72
163,27,Hatto,9.68,87.77,41
164,27,Chastagnier,31.19,49.77,44
165,5,Romans,9.27,85.03,40
166,24,Traite,82.35,2.03,69
167,33,Rabson,30.64,11.21,2
168,58,Bonnier,12.38,39.97,61
169,40,Derkes,11.34,75.92,29
170,55,Rosengren,55.44,71.85,90
171,15,Oddie,42.52,84.23,33
172,49,Chown,75.03,16.1,72
173,96,Brotherton,48.13,46.98,78
174,30,Innett,41.47,33.04,96
175,100,Compson,80.7,33.39,44
176,5,Klezmski,96.49,10.2,12
177,57,Mattson,3.33,21.01,19
178,44,Quinion,56.02,68.4,13
179,59,Benitti,48.12,32.06,70
180,99,Macbeth,17.92,54.56,66
181,34,Drohan,17.85,29.68,39
182,78,Vibert,54.63,3.06,49
183,1,Murdoch,59.28,48.97,19
184,28,Skellen,35.21,26.54,84
185,89,McCarrick,75.22,24.43,44
186,51,Dressell,43.26,15.41,99
187,67,Colaton,78.74,25.29,45
188,6,Cason,96.05,9.62,8
189,1,Outright,64.32,87.67,45
190,35,Gosse,69.46,34.92,37
191,28,MacFarlan,78.17,72.95,76
192,52,Warham,36.74,8.67,63
193,29,Demangeot,34.57,20.29,8
194,54,Blackmore,92.64,57.92,84
195,67,Aronin,45.51,19.4,90
196,85,Llewellen,72.54,85.23,87
197,1,MacAless,4.09,92.58,11
198,58,Revens,60.3,96.11,20
199,12,Stanton,94.32,40.37,11
200,34,Yakovlev,96.66,3.36,47
201,99,Rieme,62.8,72.19,55
202,21,Danieli,8.58,83.94,5
203,90,Hanscome,91.73,70.13,45
204,14,Woodberry,44.25,29.54,36
205,4,Stocken,30.27,11.13,80
206,52,Thaxton,91.87,60.69,39
207,66,Summerlie,89.08,60.65,41
208,2,Mecozzi,12.66,66.07,92
209,71,Northen,49.95,68.9,36
210,34,Pettipher,44.48,84.21,82
211,75,Kubek,85.09,76.84,46
212,32,Langworthy,35.42,77.13,62
213,26,Gude,50.02,44.42,98
214,4,Gowar,2.33,65.26,32
