ReceiptId,TransactionId,ReceiptCode,Rewards,Company,C02Impact
51,633,"",5620.95,Cogidoo,5258.52
56,924,"",104.93,Tazz,241.54
57,321,"",837.88,Npath,8086.09
94,590,"",740.11,Dynabox,6042.94
20,568,"",2771.45,Photospace,7001.82
18,991,"",2729.7,Centizu,6136.48
8,863,"",1143.01,Chatterpoint,8786.98
53,517,"",4399.72,Wikizz,2602.04
54,273,"",7802.03,Tambee,2506.71
27,231,"",5920.51,Buzzbean,1306.12
30,851,"",8906.37,Yakidoo,5538.41
29,819,"",2929.31,Rhybox,6215.32
62,707,"",5859.88,Dabshots,4711.58
37,760,"",1309.84,Tagcat,5029.29
40,176,"",1742.33,Browsebug,3523.57
63,81,"",6151.25,Tagchat,3843.57
14,862,"",9653.95,Twitterworks,3681.07
36,334,"",7477.42,Avamba,9842.47
72,669,"",9793.27,Avamba,9789.65
74,936,"",1046.67,Tagfeed,5692.49
61,335,"",3127.2,Dablist,9457.47
21,653,"",4799.93,Dabshots,3303.78
59,483,"",6380.83,BlogXS,8612.14
41,248,"",7535.07,Dazzlesphere,990.29
64,601,"",9679.3,Trudoo,1693.85
70,181,"",4565.43,Camimbo,292.5
50,509,"",5262.15,Jamia,662.63
74,845,"",5490.11,Realfire,2044.98
52,271,"",8309.31,Cogilith,3245.28
19,952,"",3422.67,Jetpulse,6293.4
60,497,"",8973.06,Twiyo,2922.68
43,694,"",748.75,Fivechat,418.38
64,68,"",8947.55,Eabox,6234.44
16,910,"",5919.4,Aibox,7266.47
75,656,"",6574.77,Meembee,5199.64
39,277,"",1918.17,Quinu,1419.89
7,58,"",1146.96,Browsecat,5405.19
50,550,"",9848.79,Bubblebox,1388.78
91,948,"",2729.73,Flashdog,3238.2
74,909,"",1891.43,Agivu,9420.53
51,286,"",773.61,Vipe,888.25
94,249,"",314.22,Skinte,4587.66
59,930,"",1062.66,Meezzy,2439.35
70,408,"",2820.83,Realcube,9992.42
22,54,"",3231.35,Yodo,991.48
78,196,"",6315.21,Skipstorm,1403.93
34,386,"",833.92,Jetwire,8635.2
22,273,"",1849.96,Tagpad,4395.65
12,329,"",5907.75,Mita,4921.76
14,213,"",4083.68,Avamm,2220.97
98,903,"",6774.87,Skippad,2921.06
50,774,"",1233.56,Skidoo,4508.13
41,290,"",784.27,Kaymbo,3814.69
34,457,"",5521.06,Dynava,7441.47
51,141,"",1287.2,Lazzy,2431.05
8,576,"",5646.54,Leexo,7650.42
84,769,"",675.9,Voolith,4892.45
87,952,"",7477.76,Mynte,9718.5
73,420,"",1742.29,Chatterbridge,9440.06
27,893,"",2998.24,Realcube,6630.05
67,197,"",3446.73,Buzzbean,1161.93
26,526,"",1043.62,Viva,1696.67
14,246,"",8808.0,Tagfeed,6624.78
1,373,"",9740.06,Eazzy,7205.22
79,683,"",1793.39,Miboo,5031.21
51,739,"",5256.87,Thoughtbridge,143.37
98,510,"",9598.38,Tekfly,4540.35
8,52,"",4726.2,Meeveo,9193.79
51,159,"",2467.46,Quimba,9007.05
7,14,"",308.48,Trilia,4312.34
44,518,"",212.03,Topiczoom,8789.9
7,931,"",7830.29,Eimbee,6979.1
45,602,"",5153.79,Meembee,9143.01
92,720,"",381.08,Yakitri,429.74
99,45,"",7240.93,Youbridge,2653.83
91,725,"",1745.5,Devcast,7508.7
6,45,"",2092.36,Voomm,1024.67
33,800,"",8138.3,Ooba,7058.7
30,431,"",1302.83,Shuffletag,6400.47
36,621,"",7261.99,Zoozzy,5199.12
71,712,"",6811.74,Youbridge,3823.73
29,834,"",4785.36,Oyoba,1832.97
34,367,"",8979.45,Ntag,5165.91
79,93,"",1716.46,Mybuzz,2545.88
65,133,"",6166.19,Vimbo,9203.66
22,762,"",2383.71,LiveZ,2848.8
47,815,"",6925.52,Buzzbean,2866.75
4,416,"",1497.53,Eimbee,6132.73
94,346,"",9976.81,Brainsphere,1200.51
62,574,"",6847.38,Npath,6017.45
38,599,"",9488.88,Tavu,9190.43
25,108,"",9885.65,Talane,4621.01
7,736,"",2000.29,Oyonder,7297.35
1,39,"",6822.42,Thoughtworks,504.34
