TransactionId,UserId,Date,Location,Amount,HaveReceipt
14,62,12/22/1992,Béatrice,89.08,true
26,6,3/23/2000,Anaïs,61.66,false
59,72,8/22/1996,Loïs,68.52,false
78,99,4/13/2015,Frédérique,63.23,false
96,73,2/23/2003,Miléna,22.81,true
80,73,8/2/1998,Bérengère,23.56,false
56,57,11/2/2001,Mélissandre,62.87,true
41,53,2/26/1995,Maïlys,10.43,true
69,9,10/5/2019,Lài,38.94,false
64,67,8/17/2002,Göran,25.43,true
83,19,2/21/2009,Adélie,22.59,true
12,98,6/6/2007,Adèle,71.63,true
87,96,1/31/1998,Mélina,34.96,false
63,38,3/14/1997,Almérinda,73.14,true
100,31,6/27/2014,Laurène,92.24,true
19,52,11/8/2013,Bérénice,64.72,false
13,81,5/8/2012,Régine,69.94,true
23,60,2/8/2008,Fèi,28.64,true
17,52,1/14/1993,Jú,17.55,false
73,12,1/6/2017,Clélia,58.54,false
62,82,3/31/2008,Aloïs,16.82,false
81,47,3/20/2003,Adèle,22.93,false
64,87,12/25/2007,Edmée,8.39,false
30,99,4/28/2009,Maïwenn,65.37,true
94,29,5/24/1999,Méryl,53.89,false
83,14,1/9/2001,Thérèse,61.76,true
32,20,11/14/2008,Thérèse,81.56,false
29,12,5/10/2018,Hélèna,33.31,true
20,83,2/21/2004,Lorène,48.81,false
89,77,11/28/2000,Yénora,91.25,true
47,66,4/23/2016,Mà,4.71,false
54,45,1/25/2008,Clémentine,30.23,true
39,66,9/9/2007,Réjane,3.2,true
71,62,4/18/1998,Nélie,37.32,true
33,95,2/13/1995,Méng,10.37,false
29,59,4/4/2007,Néhémie,29.41,false
80,33,7/5/2017,Céline,65.59,true
42,24,8/25/2007,Mélina,86.65,true
98,26,10/18/2017,Pénélope,21.99,true
28,78,7/5/1998,Thérèsa,2.33,false
12,100,7/11/2017,Vérane,2.98,false
42,75,9/26/2018,Stéphanie,94.09,false
97,86,3/3/1991,Gösta,79.46,true
11,52,3/31/1997,Mårten,62.87,true
77,82,11/24/1992,Maëlann,72.35,false
91,80,3/1/2005,Marie-ève,95.18,false
27,48,5/18/2019,Thérèsa,95.48,false
32,22,5/5/2001,Marie-josée,47.0,true
16,49,5/6/1991,Cinéma,65.68,true
52,45,5/26/2012,Börje,63.94,true
80,18,6/23/2010,Bérengère,41.66,true
24,26,12/30/2006,Françoise,52.45,false
1,52,1/22/2001,Dorothée,57.08,true
6,78,1/25/2014,Rébecca,90.02,false
77,26,10/4/1998,Edmée,72.16,true
15,2,2/21/2011,Styrbjörn,3.33,true
82,4,3/3/2009,Laurélie,18.89,true
15,79,8/28/2007,Renée,80.65,false
9,16,10/18/2006,Mà,80.79,true
93,97,4/11/1999,Mén,57.91,false
69,65,6/9/2017,Maëlyss,87.54,false
38,24,3/8/2015,Stévina,21.14,false
36,45,11/1/2002,Maïwenn,25.91,true
52,26,4/19/2014,Andréanne,83.54,true
75,31,10/18/2018,Loïca,79.85,false
86,43,5/5/2001,Clémentine,17.78,true
20,48,10/6/1995,Hélèna,58.21,true
60,85,2/15/2004,Clémentine,23.23,true
77,24,2/27/2019,Aloïs,8.24,false
9,46,5/9/1993,Fèi,16.19,true
19,66,4/8/2016,Léa,15.12,false
91,8,2/9/1996,Marie-hélène,49.39,false
52,38,4/20/2004,Thérèsa,49.98,true
90,91,12/23/1996,Mélodie,32.57,false
28,7,1/7/2000,Valérie,27.75,false
43,14,2/7/2019,Médiamass,44.11,true
41,68,7/4/2001,Léone,73.47,true
49,6,1/9/2002,Félicie,8.44,true
12,30,6/3/2014,Andréanne,1.19,true
23,90,6/28/2008,Eliès,84.97,true
51,48,8/3/2014,Marie-ève,40.04,false
51,99,6/10/1994,Yú,31.43,false
49,7,2/24/2009,Ruì,26.37,true
29,77,9/4/2008,Maïlis,92.54,true
90,76,1/12/2014,Lauréna,65.24,false
68,29,8/18/2017,Méghane,30.3,true
53,77,6/8/1996,Marylène,16.84,false
11,36,11/22/2009,Naëlle,14.37,true
80,37,11/2/2006,Mélanie,89.91,false
27,66,6/17/1993,Salomé,39.93,true
83,100,6/24/2001,Crééz,8.03,false
99,52,7/14/2007,Méryl,76.4,false
56,67,8/20/1998,Intéressant,34.9,false
58,79,11/28/1991,Yú,47.35,true
1,59,4/21/2008,Fèi,62.0,true
84,55,5/9/2012,Tán,98.15,true
44,93,2/20/1995,Maëly,18.36,true
66,49,11/20/1997,Gaétane,3.95,true
87,61,2/9/2016,Ruì,71.39,false
98,62,9/2/2010,Táng,58.26,true
11,48,10/5/2002,Athéna,6.43,true
50,72,7/2/2017,Dafnée,55.07,false
26,57,1/19/2003,Judicaël,47.48,true
50,88,6/21/1992,Célestine,85.19,true
64,71,1/20/1991,Frédérique,38.77,true
28,3,8/4/2003,Véronique,29.4,true
79,51,2/17/2005,Josée,33.38,true
24,65,6/26/1992,Lucrèce,97.22,false
96,17,11/15/2007,Marie-françoise,65.28,true
10,46,11/6/2016,Rachèle,30.5,true
30,2,1/31/2013,Laurène,14.1,false
61,38,1/6/1991,Lauréna,79.48,true
21,99,7/19/2017,Léonore,54.23,true
76,11,6/5/2016,Valérie,50.34,true
36,43,6/18/2016,Faîtes,6.69,true
70,38,11/14/2004,Mén,11.32,false
15,6,2/11/1991,Félicie,4.87,false
24,44,3/18/2007,Pénélope,96.7,true
90,82,9/29/2010,Daphnée,8.33,false
36,86,12/31/2019,Noémie,36.47,true
26,35,11/8/2000,Yóu,43.69,false
6,47,7/22/2012,Maïlis,29.69,true
19,30,8/19/1995,Pò,23.87,true
46,5,1/22/2019,Maëlyss,25.44,false
86,25,9/24/2009,Séréna,48.54,true
72,14,4/15/2008,Thérèsa,73.66,true
87,17,12/25/2013,Léana,74.54,true
18,31,2/20/2004,Cunégonde,30.19,false
17,10,7/12/2011,Zhì,18.41,false
96,46,10/27/2013,Uò,30.97,true
9,49,6/29/1990,Océane,75.72,true
10,95,7/1/1993,Torbjörn,8.6,true
4,57,2/5/2003,Dù,25.33,false
72,22,4/30/2016,Magdalène,17.07,true
12,72,5/10/2002,Åke,27.68,false
74,52,11/25/2008,Médiamass,54.4,true
9,81,2/18/1994,Clélia,6.59,false
56,44,12/18/2004,Méng,36.75,false
19,23,11/19/1990,Clémentine,37.21,true
49,20,2/21/1995,Bénédicte,23.55,true
87,81,11/30/2007,Géraldine,70.63,true
38,89,12/4/2018,Léonore,21.87,true
37,6,12/6/2006,Daphnée,22.59,true
41,46,5/8/2011,Pélagie,39.87,true
50,93,6/11/1996,Angélique,30.01,true
13,97,3/10/2017,Léane,71.94,false
62,55,3/5/2007,Lauréna,65.49,true
67,69,11/8/1998,Mylène,66.4,false
29,2,12/4/1996,Dà,86.65,true
81,32,10/29/2019,Jú,43.56,true
13,40,12/2/2011,Marie-ève,5.39,false
19,18,5/20/2011,Eloïse,50.18,false
77,85,2/22/2008,Maïly,71.95,false
37,69,1/31/1996,Naëlle,64.74,false
20,60,4/10/1995,Yè,7.8,true
80,45,4/15/1990,Athéna,59.94,true
39,30,3/8/2015,Zhì,91.48,true
86,37,3/3/2008,Angélique,42.23,false
1,7,1/22/2011,Lèi,83.18,false
91,7,9/6/2005,Stéphanie,43.73,false
53,63,1/14/2020,Valérie,30.41,false
91,27,12/10/2015,Yénora,18.46,true
74,18,2/6/2014,Cloé,67.39,false
80,41,6/21/2002,Märta,55.32,true
82,24,10/7/2018,Mélia,86.8,false
30,100,6/8/2017,Fèi,70.68,true
92,98,8/1/2000,Mélissandre,93.51,false
52,15,3/5/2016,Maï,13.65,true
31,27,2/15/2007,Irène,89.19,true
70,67,9/16/2015,Gwenaëlle,55.25,false
30,2,4/16/2011,Esbjörn,37.57,false
52,84,9/22/2016,Sélène,37.0,false
46,47,6/17/2012,Estève,87.77,true
21,38,3/3/2018,Naëlle,22.65,true
36,83,3/23/2001,Cunégonde,88.88,false
23,1,2/8/1993,Cinéma,80.84,false
4,80,5/7/1992,Sòng,92.51,false
71,79,11/6/2002,Estève,44.28,false
5,9,3/1/2003,Amélie,10.91,false
47,75,3/11/1991,Valérie,99.62,false
23,59,1/20/2013,Laurélie,16.51,true
46,95,12/4/2016,Eliès,98.76,true
94,51,1/23/2003,Judicaël,69.04,false
67,68,4/27/2018,Yè,94.22,false
81,4,10/23/2007,Görel,90.79,false
41,30,7/15/1995,Mén,82.41,true
16,2,11/9/1997,Mélinda,11.33,true
77,83,6/26/1993,Adélaïde,30.85,false
17,100,9/17/2009,Fèi,74.0,true
1,61,1/12/1999,Annotée,85.85,false
99,20,11/21/2008,Léandre,72.31,false
24,68,7/30/2005,Lyséa,84.49,false
29,66,5/10/2018,Renée,60.57,true
14,73,12/5/2006,Solène,23.16,true
22,80,6/2/1993,Mylène,57.51,false
47,29,7/2/2009,Réjane,41.07,false
51,74,7/28/2006,Léandre,7.21,false
82,44,2/8/2012,Naéva,66.54,false
30,62,1/10/2014,Desirée,42.33,true
79,12,9/23/2004,Méghane,4.25,false
37,79,5/7/1999,Cléa,20.52,true
81,56,1/29/1993,Jú,47.57,true
91,16,9/25/2006,Måns,20.06,true
12,3,3/17/2005,Dafnée,29.08,false
24,64,12/1/2011,Jú,3.12,false
99,29,10/18/1999,Agnès,4.88,false
11,55,11/2/2009,Mylène,80.92,true
85,19,11/8/2006,Märta,34.61,true
15,47,11/18/1993,Esbjörn,24.25,false
60,62,9/19/2014,Uò,27.77,false
74,71,2/27/1996,Maï,11.12,true
11,12,9/18/2019,Maïlys,87.24,true
46,53,4/2/1999,Angélique,91.37,true
86,94,7/22/2006,Garçon,92.18,false
69,21,11/17/2016,Méng,86.31,false
22,40,4/11/2009,Andréanne,11.01,true
44,48,8/24/1998,Pål,73.92,true
22,97,2/9/2009,Géraldine,61.01,false
60,74,8/30/2017,Mélanie,30.27,false
65,90,2/7/1997,Chloé,51.17,true
29,70,4/28/2011,Maëlla,80.42,false
3,31,6/21/1993,Danièle,68.62,false
11,75,4/13/1996,Léonore,80.83,true
20,69,12/27/1993,Yáo,85.63,false
1,84,3/4/2008,Håkan,94.18,true
29,35,4/13/2006,Eloïse,58.0,true
68,28,3/17/1996,Aí,70.8,false
39,62,9/20/2016,Agnès,62.72,false
46,70,11/7/2010,Cécilia,9.96,false
23,55,4/14/1992,Dorothée,28.09,true
33,90,11/10/2006,Athéna,31.6,true
44,15,7/30/2014,Gaétane,90.6,true
2,24,2/2/1995,Pénélope,52.06,true
77,29,11/13/1998,Sòng,40.29,true
25,64,4/17/2000,Mårten,38.63,false
53,80,6/27/1991,Kuí,47.46,true
82,9,2/6/1996,Görel,85.6,false
45,87,10/12/2008,Mélys,56.59,true
96,42,10/30/2002,Desirée,35.0,false
20,18,7/6/2019,Clémence,89.74,false
21,10,9/12/2002,Cécilia,83.75,true
14,46,12/25/1997,Bérangère,84.14,true
52,98,3/31/2015,Bérengère,89.14,true
76,30,3/3/1992,Publicité,76.79,false
60,67,1/16/2014,Gisèle,35.4,true
69,8,10/24/1999,Gösta,9.52,true
20,17,11/15/2005,Maïlis,12.47,true
55,75,5/23/1994,Görel,43.43,false
69,34,8/4/2008,Anaëlle,14.63,true
83,26,4/28/2018,Séverine,83.08,true
2,39,11/23/2013,Clémentine,16.78,true
2,91,10/25/2014,Yóu,89.34,true
85,36,1/16/1998,Andréa,59.3,false
89,32,8/25/2018,Vérane,89.49,true
23,42,5/1/1995,Judicaël,5.1,true
79,32,9/30/2000,Kévina,40.02,true
51,34,7/24/1993,Camélia,28.67,false
69,26,8/13/2000,Hélène,66.2,true
6,48,7/5/1996,Björn,43.48,true
76,85,2/23/2010,Joséphine,69.48,true
24,90,1/10/2013,Simplifiés,39.84,true
41,17,12/1/1991,Léa,17.21,true
6,45,8/16/2003,Judicaël,88.75,true
75,66,10/18/2015,Anaëlle,66.42,false
50,5,11/1/2018,Yáo,79.88,true
54,53,8/13/2009,Vérane,37.44,true
55,84,2/2/2019,Thérèse,73.1,false
17,2,12/31/1994,Ruì,21.96,false
11,25,5/3/2000,Kù,70.16,true
58,61,11/12/2010,Liè,75.96,true
73,74,10/9/2009,Pål,30.53,false
63,32,9/20/1997,Cunégonde,40.9,false
12,11,8/8/2016,Dù,36.35,false
53,25,7/10/2011,Estève,39.59,true
90,21,8/11/2000,Bécassine,83.22,true
19,83,8/8/1990,Maëlys,92.11,false
18,14,10/4/2018,Cloé,19.54,false
49,20,4/20/1997,Naéva,76.17,false
25,7,10/14/2011,Méghane,53.1,true
26,19,2/18/2013,Cléa,98.86,false
10,73,1/3/1997,Cléa,94.14,false
12,33,7/3/1996,Maïlis,82.05,false
16,97,1/2/2018,Méryl,48.43,true
69,25,9/28/2005,Séverine,79.48,false
80,30,11/15/1991,Geneviève,69.88,true
43,90,5/18/2011,Aurélie,35.05,false
44,74,9/27/2018,Bécassine,84.21,true
52,37,1/22/1994,Jú,59.57,true
12,78,10/1/1995,Clémentine,61.58,true
41,63,5/8/1999,Loïca,51.52,false
33,21,4/11/2011,Mén,86.24,false
32,2,2/2/2005,Angélique,32.22,false
64,73,7/22/2012,Maëlann,70.15,true
74,45,1/14/1991,Styrbjörn,3.2,false
92,26,10/21/2019,Gösta,18.1,false
25,78,4/7/2010,Stéphanie,26.55,true
95,68,7/2/2002,Rébecca,38.67,false
31,21,10/16/1994,Lucrèce,78.37,false
73,43,7/3/1991,Cléa,53.28,true
8,11,4/17/1991,Eléonore,36.77,false
16,93,3/22/2013,Desirée,75.87,false
9,4,5/7/2013,Marie-hélène,86.78,false
55,50,6/27/2003,Lóng,58.66,false
95,10,12/3/2002,Lài,56.26,false
92,95,6/27/2013,Dorothée,85.39,true
66,57,7/23/2000,Cunégonde,57.65,false
15,84,5/31/2009,Gaëlle,7.77,true
57,5,4/11/1990,Rébecca,28.05,false
66,12,7/5/2012,Anaé,48.5,true
45,52,1/16/2018,Björn,20.78,false
87,62,5/28/2008,Gisèle,71.39,true
48,13,6/19/2016,Naëlle,50.46,true
7,10,7/13/2005,Ruò,34.14,false
36,44,4/15/2012,Loïc,76.88,false
31,71,1/18/1993,Solène,49.15,true
76,6,9/7/1997,Néhémie,83.78,false
51,57,8/7/1996,Marie-noël,57.2,false
90,92,8/22/2004,Eloïse,31.48,false
